#separator:tab
#html:true
#deck column:1
#tags column:4
Japanese Hiragana	あ	A	basic jlpt::n5
Japanese Hiragana	い	I	basic jlpt::n5
Japanese Hiragana	う	U	basic jlpt::n5
Japanese Hiragana	え	 E	basic jlpt::n5
Japanese Hiragana	お	O	basic jlpt::n5
Japanese Hiragana	か	Ka	basic jlpt::n5
Japanese Hiragana	き	Ki	basic jlpt::n5
Japanese Hiragana	く	Ku	basic jlpt::n5
Japanese Hiragana	け	Ke	basic jlpt::n5
Japanese Hiragana	こ	Ko	basic jlpt::n5
Japanese Hiragana	さ	Sa	basic jlpt::n5
Japanese Hiragana	し	Shi	basic jlpt::n5
Japanese Hiragana	す	Su	basic jlpt::n5
Japanese Hiragana	せ	Se	basic jlpt::n5
Japanese Hiragana	そ	So	basic jlpt::n5
Japanese Hiragana	た	Ta	basic jlpt::n5
Japanese Hiragana	ち	Chi	basic jlpt::n5
Japanese Hiragana	つ	 Tsu	basic jlpt::n5
Japanese Hiragana	て	Te	basic jlpt::n5
Japanese Hiragana	と	To	basic jlpt::n5
Japanese Hiragana	な	Na	basic jlpt::n5
Japanese Hiragana	に	Ni	basic jlpt::n5
Japanese Hiragana	ぬ	Nu	basic jlpt::n5
Japanese Hiragana	ね	Ne	basic jlpt::n5
Japanese Hiragana	の	No	basic jlpt::n5
Japanese Hiragana	は	Ha	basic jlpt::n5
Japanese Hiragana	ひ	Hi	basic jlpt::n5
Japanese Hiragana	ふ	Fu	basic jlpt::n5
Japanese Hiragana	へ	He	basic jlpt::n5
Japanese Hiragana	ほ	Ho	basic jlpt::n5
Japanese Hiragana	ま	Ma	basic jlpt::n5
Japanese Hiragana	み	Mi	basic jlpt::n5
Japanese Hiragana	む	Mu	basic jlpt::n5
Japanese Hiragana	め	 Me	basic jlpt::n5
Japanese Hiragana	も	 Mo	basic jlpt::n5
Japanese Hiragana	や	Ya	basic jlpt::n5
Japanese Hiragana	ゆ	Yu	basic jlpt::n5
Japanese Hiragana	よ	Yo	basic jlpt::n5
Japanese Hiragana	ら	Ra	basic jlpt::n5
Japanese Hiragana	り	Ri	basic jlpt::n5
Japanese Hiragana	る	Ru	basic jlpt::n5
Japanese Hiragana	れ	Re	basic jlpt::n5
Japanese Hiragana	ろ	Ro	basic jlpt::n5
Japanese Hiragana	わ	Wa	basic jlpt::n5
Japanese Hiragana	を	O (wo) 	basic jlpt::n5
Japanese Hiragana	ん	N	basic jlpt::n5
Japanese Katakana	ア	a	basic jlpt::n5
Japanese Katakana	イ	i	basic jlpt::n5
Japanese Katakana	ウ	u	basic jlpt::n5
Japanese Katakana	エ	e	basic jlpt::n5
Japanese Katakana	オ	o	basic jlpt::n5
Japanese Katakana	カ	ka	basic jlpt::n5
